ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
PDD,2025-11-18,2026-03-25,2025-11-11,2025-11-21,2026-04-17,137.11000061035156,135.0,PDD   251121C00135000,PDD   251121P00135000,PDD   260417C00135000,PDD   260417P00135000
PDD,2026-03-25,2026-05-27,2026-03-18,2026-03-27,2026-06-19,100.72000122070312,100.0,PDD   260327C00100000,PDD   260327P00100000,PDD   260619C00100000,PDD   260619P00100000
PLTR,2020-11-12,2021-02-16,2020-11-05,2020-11-13,2021-02-19,11.880000114440918,12.0,PLTR  201113C00012000,PLTR  201113P00012000,PLTR  210219C00012000,PLTR  210219P00012000
PLTR,2021-02-16,2021-05-11,2021-02-09,2021-02-19,2021-05-21,38.16999816894531,37.5,PLTR  210219C00037500,PLTR  210219P00037500,PLTR  210521C00037500,PLTR  210521P00037500
PLTR,2021-05-11,2021-08-12,2021-05-04,2021-05-14,2021-08-20,21.639999389648438,22.0,PLTR  210514C00022000,PLTR  210514P00022000,PLTR  210820C00022000,PLTR  210820P00022000
PLTR,2021-08-12,2021-11-09,2021-08-05,2021-08-13,2021-11-19,22.520000457763672,23.0,PLTR  210813C00023000,PLTR  210813P00023000,PLTR  211119C00023000,PLTR  211119P00023000
PLTR,2021-11-09,2022-02-17,2021-11-02,2021-11-12,2022-02-18,25.920000076293945,25.0,PLTR  211112C00025000,PLTR  211112P00025000,PLTR  220218C00025000,PLTR  220218P00025000
PLTR,2022-02-17,2022-05-09,2022-02-10,2022-02-18,2022-05-20,13.5600004196167,14.0,PLTR  220218C00014000,PLTR  220218P00014000,PLTR  220520C00014000,PLTR  220520P00014000
PLTR,2022-05-09,2022-08-08,2022-05-02,2022-05-13,2022-08-19,10.739999771118164,11.0,PLTR  220513C00011000,PLTR  220513P00011000,PLTR  220819C00011000,PLTR  220819P00011000
PLTR,2022-08-08,2022-11-07,2022-08-01,2022-08-12,2022-11-18,10.470000267028809,10.0,PLTR  220812C00010000,PLTR  220812P00010000,PLTR  221118C00010000,PLTR  221118P00010000
PLTR,2022-11-07,2023-02-13,2022-10-31,2022-11-11,2023-02-17,8.789999961853027,9.0,PLTR  221111C00009000,PLTR  221111P00009000,PLTR  230217C00009000,PLTR  230217P00009000
PLTR,2023-02-13,2023-05-08,2023-02-06,2023-02-17,2023-05-19,8.3100004196167,8.0,PLTR  230217C00008000,PLTR  230217P00008000,PLTR  230519C00008000,PLTR  230519P00008000
PLTR,2023-05-08,2023-08-07,2023-05-01,2023-05-12,2023-08-18,7.78000020980835,8.0,PLTR  230512C00008000,PLTR  230512P00008000,PLTR  230818C00008000,PLTR  230818P00008000
PLTR,2023-08-07,2023-11-02,2023-07-31,2023-08-11,2023-11-17,19.84000015258789,20.0,PLTR  230811C00020000,PLTR  230811P00020000,PLTR  231117C00020000,PLTR  231117P00020000
PLTR,2023-11-02,2024-02-05,2023-10-26,2023-11-03,2024-02-16,15.289999961853027,15.0,PLTR  231103C00015000,PLTR  231103P00015000,PLTR  240216C00015000,PLTR  240216P00015000
PLTR,2024-02-05,2024-05-06,2024-01-29,2024-02-09,2024-05-17,17.09000015258789,17.0,PLTR  240209C00017000,PLTR  240209P00017000,PLTR  240517C00017000,PLTR  240517P00017000
